# Grille 1.1
1	0	1	0	0	1
0	1	0	1	1	0
1	0	0	1	0	1
0	1	1	0	0	1
1	0	1	0	1	0
0	1	0	1	1	0

# Grille 1.2
0	0	1	1	0	1
1	1	0	0	1	0
0	1	1	0	0	1
1	0	0	1	1	0
1	0	1	0	1	0
0	1	0	1	0	1

# Grille 1.3
0	1	0	1	0	1
1	0	1	0	1	0
0	0	1	1	0	1
1	1	0	0	1	0
1	0	0	1	1	0
0	1	1	0	0	1

# Grille 1.4
1	0	0	1	0	1
0	1	1	0	1	0
1	0	1	0	0	1
0	1	0	1	1	0
1	1	0	0	1	0
0	0	1	1	0	1

# Grille 1.5
0	1	1	0	0	1
1	0	0	1	1	0
0	1	0	1	0	1
1	0	1	0	1	0
1	1	0	0	1	0
0	0	1	1	0	1

# Grille 1.6
0	1	1	0	1	0
0	1	0	1	0	1
1	0	0	1	1	0
1	0	1	0	0	1
0	1	1	0	1	0
1	0	0	1	0	1

# Grille 1.7
0	0	1	1	0	1
1	1	0	0	1	0
1	0	0	1	1	0
0	1	1	0	0	1
1	0	1	0	1	0
0	1	0	1	0	1

# Grille 1.8
0	1	0	1	0	1
1	0	1	0	1	0
0	1	1	0	0	1
1	0	0	1	1	0
1	1	0	0	1	0
0	0	1	1	0	1

# Grille 1.9
0	1	0	0	1	1
1	0	1	1	0	0
0	1	1	0	0	1
1	0	0	1	1	0
1	1	0	1	0	0
0	0	1	0	1	1

# Grille 1.10
1	0	1	0	1	0
0	1	0	1	0	1
1	0	0	1	1	0
0	1	1	0	0	1
0	0	1	1	0	1
1	1	0	0	1	0

# Grille 2.1
1	1	0	0	1	0
1	0	1	0	0	1
0	1	0	1	0	1
0	1	0	1	1	0
1	0	1	0	1	0
0	0	1	1	0	1

# Grille 2.2
0	0	1	1	0	1
1	0	1	0	1	0
0	1	0	1	1	0
0	1	0	1	0	1
1	0	1	0	0	1
1	1	0	0	1	0

# Grille 2.3
0	1	1	0	0	1
1	0	0	1	1	0
0	0	1	1	0	1
0	1	0	0	1	1
1	0	1	1	0	0
1	1	0	0	1	0

# Grille 2.4
1	1	0	0	1	0
0	0	1	0	1	1
0	1	0	1	0	1
1	1	0	1	0	0
1	0	1	0	1	0
0	0	1	1	0	1

# Grille 2.5
1	1	0	0	1	0
1	0	1	1	0	0
0	1	0	1	0	1
0	1	0	0	1	1
1	0	1	0	1	0
0	0	1	1	0	1

# Grille 2.6
0	1	1	0	1	0
1	0	1	0	0	1
0	1	0	1	0	1
0	1	0	1	1	0
1	0	1	0	1	0
1	0	0	1	0	1

# Grille 2.7
0	1	0	0	1	1
1	0	1	0	0	1
1	1	0	1	0	0
0	1	0	1	1	0
0	0	1	0	1	1
1	0	1	1	0	0

# Grille 2.8
0	1	0	0	1	1
0	0	1	1	0	1
1	1	0	0	1	0
1	0	1	1	0	0
0	1	1	0	0	1
1	0	0	1	1	0

# Grille 2.9
1	1	0	1	0	0
1	0	1	0	0	1
0	1	0	0	1	1
0	1	0	1	1	0
1	0	1	1	0	0
0	0	1	0	1	1

# Grille 2.10
1	0	0	1	1	0
1	0	1	0	0	1
0	1	0	1	0	1
0	1	0	1	1	0
1	0	1	0	1	0
0	1	1	0	0	1

# Grille 2.11
0	0	1	1	0	1
0	1	0	1	1	0
1	0	1	0	1	0
1	0	1	0	0	1
0	1	0	1	0	1
1	1	0	0	1	0

# Grille 2.12
1	1	0	0	1	0
1	0	0	1	0	1
0	1	1	0	0	1
0	1	1	0	1	0
1	0	0	1	1	0
0	0	1	1	0	1

# Grille 2.13
1	1	0	0	1	0
0	1	1	0	0	1
1	0	0	1	0	1
1	0	0	1	1	0
0	1	1	0	1	0
0	0	1	1	0	1

# Grille 3.1
1	0	1	1	0	0
1	0	1	0	1	0
0	1	1	0	0	1
1	1	0	1	0	0
0	1	0	0	1	1
0	0	1	1	0	1

# Grille 4.1
0	1	1	0	1	0
1	0	1	1	0	0
0	1	0	1	0	1
0	0	1	0	1	1
1	0	1	0	1	0
0	1	0	1	1	0

# Grille 5.1
1	0	0	1	1	0
0	0	1	1	0	1
1	1	0	0	1	0
0	1	0	1	1	0
1	0	1	0	0	1
0	1	1	0	0	1

# Grille 5.2
1	0	1	1	0	0
0	1	0	0	1	1
0	0	1	0	1	1
1	0	1	1	0	0
1	1	0	0	1	0
0	1	0	1	0	1

# Grille 5.3
0	1	1	0	0	1
1	1	0	0	1	0
0	0	1	1	0	1
0	0	1	0	1	1
1	1	0	1	0	0
1	0	0	1	1	0

# Grille 5.4
0	0	1	1	0	1
1	0	0	1	1	0
0	1	1	0	0	1
1	0	1	0	0	1
0	1	0	1	1	0
1	1	0	0	1	0

# Grille 5.5
1	0	1	0	1	0
0	1	0	0	1	1
0	0	1	1	0	1
1	1	0	1	0	0
1	1	0	0	1	0
0	0	1	1	0	1

# Grille 5.6
0	1	0	1	0	1
1	1	0	0	1	0
0	0	1	1	0	1
1	0	0	1	0	1
0	1	1	0	1	0
1	0	1	0	1	0

# Grille 5.7
0	1	1	0	0	1
1	1	0	0	1	0
0	0	1	1	0	1
1	0	1	0	0	1
0	1	0	1	1	0
1	0	0	1	1	0

# Grille 5.8
1	0	0	1	1	0
0	1	0	1	1	0
1	0	1	0	0	1
0	0	1	1	0	1
1	1	0	0	1	0
0	1	1	0	0	1

# Grille 5.9
1	0	1	0	0	1
1	1	0	0	1	0
0	0	1	1	0	1
0	1	1	0	0	1
1	0	0	1	1	0
0	1	0	1	1	0

# Grille 5.10
0	0	1	0	1	1
1	1	0	0	1	0
0	0	1	1	0	1
1	0	1	0	0	1
0	1	0	1	1	0
1	1	0	1	0	0

# Grille 5.11
0	1	1	0	0	1
0	1	0	1	1	0
1	0	1	0	0	1
0	0	1	1	0	1
1	1	0	0	1	0
1	0	0	1	1	0

# Grille 5.12
0	1	1	0	0	1
1	1	0	1	0	0
0	0	1	0	1	1
1	0	1	0	0	1
0	1	0	1	1	0
1	0	0	1	1	0

# Grille 6.1
0	0	1	0	1	1
1	0	1	1	0	0
1	1	0	0	0	1
0	1	0	1	0	1
1	0	1	0	1	0
0	1	0	1	1	0

# Grille 7.1
1	0	1	0	1	0
1	1	0	0	1	0
0	1	0	1	0	1
1	0	1	0	0	1
0	1	0	1	1	0
0	0	1	1	0	1

# Grille 7.2
0	0	1	1	0	1
0	1	0	1	0	1
1	1	0	0	1	0
1	0	1	0	0	1
0	1	0	1	1	0
1	0	1	0	1	0

# Grille 7.3
0	0	1	1	0	1
0	0	1	0	1	1
1	1	0	0	1	0
